title,written_time,author,author_num,price,length,img,attend_num,deliver,talk,spam
에어팟 프로 미개봉 팝니다,2021.04.21.,사탕주면따라가,128,210000,99,3,"5,749",1,1,0
에어팟 프로 미개봉 팝니다.,2021.04.21.,곰스곰,36,230000,144,1,"2,286",0,1,0
[애플]애플코리아정품 에어팟프로 미개봉 새제품 판매합니다.,2021.04.21.,gangeejjung,384,225000,401,3,"5,329",1,1,0
에어팟 프로 미개봉 판매,2021.04.21.,너는나라삼,-1,195000,200,2,-1,1,1,1
에어팟 프로 미개봉 2개 판매,2021.04.21.,너는나라삼,-1,200000,206,2,-1,1,1,1
에어팟프로 미개봉 새상품 판매합니다,2021.04.20.,김인지지,2,190000,185,3,3,1,1,1
에어팟프로 미개봉 새상품 판매합니다,2021.04.20.,김인지지,2,190000,185,3,3,1,1,1
판완 갤럭시버즈프로 블랙색상 미개봉 판매합니다,2021.04.20.,agesIo,9,160000,62,1,"1,070",0,1,0
에어팟 프로 미개봉제품,2021.04.20.,누구세뇨,60,200000,176,2,881,1,1,0
애플코리아정품 에어팟프로 미개봉 새제품 판매합니다.,2021.04.20.,gangeejjung,384,230000,211,3,"5,329",1,1,0
에어팟 프로 미개봉,2021.04.20.,wn7198,37,230000,160,3,"2,420",0,1,0
애플워치SE 미개봉 실버 44mm gps,2021.04.19.,-1,-1,370000,-1,-1,-1,-1,-1,0
애플워치SE 미개봉 스그 44mm GPS,2021.04.19.,-1,-1,370000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉 판매,2021.04.19.,호두,13,230000,158,1,206,1,1,0
에어팟 프로 미개봉 새제품 판매합니다.(거래내역 확인 必),2021.04.19.,ELBecks,110,220000,361,4,"2,005",1,1,0
에어팟 프로 미개봉 새제품 판매합니다.(거래내역 확인 必),2021.04.19.,ELBecks,110,220000,361,4,"2,005",1,1,0
에어팟프로 미개봉 팝니다,2021.04.19.,Tae87,176,199000,108,1,"3,107",0,1,1
에어팟 미개봉 새제품 팝니다~,2021.04.18.,소리질럽,91,219000,199,2,"3,654",1,1,0
에어팟 2세대 유선 미개봉,2021.04.18.,-1,-1,125000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉 팝니다,2021.04.18.,레크닉,"1,163",240000,166,1,"4,761",1,1,0
에어팟프로 미개봉새상품 판매합니다,2021.04.18.,팔끼다,22,250000,131,1,"3,629",0,1,0
에어팟 프로 미개봉 새제품 판매 (정품),2021.04.18.,Daniel,36,230000,237,2,230,1,1,0
에어팟프로 미개봉 판매,2021.04.17.,호두,13,230000,158,1,206,1,1,0
